Time,EP_con_kWh,EP_gen_kWh
17766000,0.28881320106,0.1477
17769600,0.264470819678,0.1272
17773200,0.262626612179,0.12527
17776800,0.312974935974,0.12481
17780400,0.321611045847,0.12727
17784000,0.369990096195,0.15965
17787600,0.377129514021,0.16385
17791200,0.332758752505,0.16606
17794800,0.334910977052,0.15979
17798400,0.320113554951,0.14347
17802000,0.314540163556,0.13348
17805600,0.314394850333,0.12476
17809200,0.321564977541,0.12474
17812800,0.326341569991,0.12473
17816400,0.325566156034,0.12761
17820000,0.340624343181,0.14374
17823600,0.333409552045,0.15348
17827200,0.344388265605,0.15729
17830800,0.316839513678,0.1472
17834400,0.353924347858,0.14505
17838000,0.355833659439,0.15134
17841600,0.361068836898,0.16211
17845200,0.36535544406,0.16446
17848800,0.307939309266,0.15919
17852400,0.298037868624,0.14986
17856000,0.286452388143,0.14015
17859600,0.276421728663,0.13331
17863200,0.314170085247,0.12577
17866800,0.331486229612,0.13537
17870400,0.367063126404,0.15391
17874000,0.377360255849,0.16034
17877600,0.33530130335,0.1646
17881200,0.335239231187,0.15456
17884800,0.311604667538,0.14535
17888400,0.310353622693,0.13769
17892000,0.307750260148,0.1298
17895600,0.311862377227,0.12478
17899200,0.319419582217,0.12668
17902800,0.330045942788,0.13573
17906400,0.339579668734,0.14167
17910000,0.344139995831,0.15601
17913600,0.358329779814,0.15977
17917200,0.331136493605,0.15128
17920800,0.350661042055,0.14021
17924400,0.349828622007,0.14158
17928000,0.361302661797,0.15297
17931600,0.36610573506,0.15887
17935200,0.311866514465,0.15477
17938800,0.317913755362,0.15757
17942400,0.313883933351,0.15324
17946000,0.31457094246,0.15128
17949600,0.348730239114,0.14047
17953200,0.373312326827,0.15138
17956800,0.387620647431,0.15978
17960400,0.394497902595,0.16384
17964000,0.345972073728,0.16192
17967600,0.350851992766,0.15297
17971200,0.38906838044,0.17964
17974800,0.403443368833,0.17571
17978400,0.412747682719,0.16955
17982000,0.424170176948,0.1646
17985600,0.430666373708,0.165
17989200,0.433395878879,0.16964
17992800,0.415932793036,0.17466
17996400,0.402805814564,0.17787
18000000,0.407222785555,0.17871
18003600,0.369208076536,0.16967
18007200,0.399783797176,0.16512
18010800,0.398483429178,0.16702
18014400,0.407257320376,0.1774
18018000,0.40330851786,0.1774
18021600,0.341678614917,0.16798
18025200,0.333014467984,0.1624
18028800,0.331138864473,0.16016
18032400,0.332836986642,0.15891
18036000,0.376038857803,0.15081
18039600,0.393546290966,0.15925
18043200,0.420325380822,0.17466
18046800,0.431067720495,0.17777
18050400,0.382014473729,0.17731
18054000,0.383661366766,0.16756
18057600,0.374717409589,0.16036
18061200,0.384241120112,0.14982
18064800,0.392373301268,0.14233
18068400,0.394978195666,0.13804
18072000,0.403729614097,0.13853
18075600,0.40806824923,0.14242
18079200,0.401939062535,0.14518
18082800,0.393788264271,0.14998
18086400,0.40125711535,0.14993
18090000,0.361278434841,0.13865
18093600,0.385522379973,0.13498
18097200,0.378313335234,0.13497
18100800,0.386605021803,0.14549
18104400,0.385767005405,0.14766
18108000,0.32517460686,0.14059
18111600,0.321344089257,0.13556
18115200,0.314958269496,0.13255
18118800,0.304778477016,0.12017
18122400,0.354599920867,0.11867
18126000,0.380051636698,0.13265
18129600,0.422275206068,0.15293
18133200,0.43065373443,0.1565
18136800,0.378904165735,0.14991
18140400,0.361459257685,0.12862
18144000,0.335585674032,0.16294
18147600,0.33861624193,0.15488
18151200,0.333791375825,0.14757
18154800,0.331065629013,0.13818
18158400,0.316005616042,0.12049
18162000,0.319911887602,0.11962
18165600,0.316856654824,0.11962
18169200,0.318944287325,0.11724
18172800,0.295986422596,0.11644
18176400,0.269457660819,0.11444
18180000,0.254245557313,0.11394
18183600,0.247471975496,0.11464
18187200,0.243194067814,0.11646
18190800,0.244060517805,0.11976
18194400,0.243460676776,0.11976
18198000,0.244977469621,0.11972
18201600,0.246889782492,0.11964
18205200,0.24423829935,0.11654
18208800,0.250499392804,0.11976
18212400,0.283960509997,0.14242
18216000,0.295516856827,0.14764
18219600,0.302510430904,0.14896
18223200,0.305253003326,0.14964
18226800,0.310475169325,0.1481
18230400,0.264568857748,0.12072
18234000,0.262161944947,0.11551
18237600,0.267677717283,0.10659
18241200,0.267645723922,0.10048
18244800,0.284955677101,0.10766
18248400,0.291136879351,0.10949
18252000,0.298122882033,0.11071
18255600,0.299543841544,0.1065
18259200,0.26342861804,0.09461
18262800,0.237945035633,0.09048
18266400,0.19991415346,0.07962
18270000,0.190696173362,0.08012
18273600,0.197951644999,0.091
18277200,0.198201044779,0.09456
18280800,0.20833070506,0.10252
18284400,0.210655451955,0.1041
18288000,0.207985887994,0.10154
18291600,0.206596225474,0.09939
18295200,0.21838037685,0.10773
18298800,0.240106455724,0.11688
18302400,0.285358183036,0.15169
18306000,0.296706951919,0.16453
18309600,0.313735890322,0.18234
18313200,0.301510229509,0.16416
18316800,0.312874418167,0.15677
18320400,0.318087491704,0.15261
18324000,0.323543557171,0.14921
18327600,0.327244388758,0.14678
18331200,0.330475448809,0.14593
18334800,0.332581221304,0.1491
18338400,0.333421372636,0.14974
18342000,0.326383791311,0.1476
18345600,0.339741668244,0.15003
18349200,0.309508004217,0.14477
18352800,0.31723081146,0.12366
18356400,0.317493980211,0.12496
18360000,0.318808693741,0.13002
18363600,0.33100857786,0.14059
18367200,0.287237689347,0.14447
18370800,0.285686377593,0.14193
18374400,0.284442876572,0.14005
18378000,0.293332288292,0.14736
18381600,0.343979828609,0.1476
18385200,0.359096695461,0.15293
18388800,0.372920642121,0.15903
18392400,0.377998785663,0.16469
18396000,0.335498646526,0.1646
18399600,0.336442619902,0.15355
18403200,0.341260511651,0.15617
18406800,0.348436322188,0.15141
18410400,0.351262990786,0.1446
18414000,0.361296108963,0.14438
18417600,0.374735999704,0.14925
18421200,0.375488613708,0.15293
18424800,0.375164415085,0.15396
18428400,0.359790656641,0.15235
